reit_name,document_type,document_name,document_date,source_url,local_cache_path,sha256,downloaded_at,extraction_status,relevant_pages,notes
ESR켄달스퀘어리츠,portfolio_asset_detail,Goyang Logistics Park,,https://www.esrks-reit.com/en/portfolio/map/a2cad066-246a-53a3-8d22-4599e0639edc,,5d27d6f25398f2311420002e0f2e40978ec76128e7a838bf6b7b937c871e71e5,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Bucheon Cold Logistics Park,,https://www.esrks-reit.com/en/portfolio/map/ca9d9b48-f717-5f28-8632-ff4236606f21,,f800a249da4954a8f55114bc86bacdccf44f4063e432d7bf9ca32fd5a88226be,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistics Park 10,,https://www.esrks-reit.com/en/portfolio/map/c4443ef2-ef4d-5b93-8a0f-a6dcc8d75a08,,d4173f2c4b828646108eb2b777daab2a7b52259f8148b05f0d79a54c280d0b59,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistics Park 9,,https://www.esrks-reit.com/en/portfolio/map/c3c30f3a-c07d-5292-877b-02e29fa5055c,,8e65f179b0d3ed4e5df3d28b6795a32f0d7a195571d47587cd1ba76866624c7a,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Cheonan Logistics Park 1,,https://www.esrks-reit.com/en/portfolio/map/c037f166-0ae9-5b87-82b1-53a49e9feb9b,,8b9215c704f1b3edce71050abe599fced50332ac6271cd724a255310dfe7920a,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistics Park 5,,https://www.esrks-reit.com/en/portfolio/map/8dfce441-c8e5-5364-8a7f-83d7a7a6a159,,27b6236ed1d3823460dfb3d248ea0fbce6129dd95dc6554821749daa9f7786f9,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistics Park 6,,https://www.esrks-reit.com/en/portfolio/map/b58609e3-917a-55d4-8013-d151eda03bbb,,0d524243915c84ef7c60f73a4a1b0768351e02483bffa62e0d0bf8dce17f6888,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Yongin Logistics Park 1,,https://www.esrks-reit.com/en/portfolio/map/7ad7ed9b-1568-5a4d-82ce-e479e694c9bd,,77ac22d5f01def9fc6e5a194493fbc6dbb797085968aa1c97e184d383b7fe06c,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Yongin Logistics Park 2,,https://www.esrks-reit.com/en/portfolio/map/dc5550b3-3412-592b-8562-361e97505c6f,,d27809bb88db3580c0cbf909a723072eb0881b1965bb38ea80e2473481f78ee7,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Yongin Logistics Park 3 (BRIC),,https://www.esrks-reit.com/en/portfolio/map/ef253768-517b-5317-80bd-13e02a5a879f,,dff5a1618ae464c5eec8b822da764ff2fdd47eb2995905aa0cb33979f61144b5,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
